Site,North,West,Site Type,Date,Location,Quadrat,IndividualID,Size(mm),Parasitized,ParasiteType,,,,,,
Deep Bay Reference,49.47127593,-124.7387111,Reference Site,July 21 2016,Baynes Sound,1,Baynes1,20,No,,,,,,,
NOT,49.47199603,-124.7776369,Reference Site,July 22 2016,Baynes Sound,1,Baynes2,35,No,,,,,,,
NOT,49.47199603,-124.7776369,Reference Site,July 22 2016,Baynes Sound,1,Baynes3,15,No,,,,,,,
NOT,49.47199603,-124.7776369,Reference Site,July 22 2016,Baynes Sound,1,Baynes4,10,No,,,,,,,
NOT,49.47199603,-124.7776369,Reference Site,July 22 2016,Baynes Sound,1,Baynes5,40,No,,,,,,,
NOT,49.47199603,-124.7776369,Reference Site,July 22 2016,Baynes Sound,1,Baynes6,45,No,,,,,,,
NOT,49.47199603,-124.7776369,Reference Site,July 22 2016,Baynes Sound,1,Baynes7,25,No,,,,,,,
NOT,49.47199603,-124.7776369,Reference Site,July 22 2016,Baynes Sound,1,Baynes8,20,No,,,,,,,
NOT,49.47199603,-124.7776369,Reference Site,July 22 2016,Baynes Sound,1,Baynes9,28,No,,,,,,,
NOT,49.47199603,-124.7776369,Reference Site,July 22 2016,Baynes Sound,1,Baynes10,20,No,,,,,,,
NOT,49.47199603,-124.7776369,Reference Site,July 22 2016,Baynes Sound,1,Baynes11,15,No,,,,,,,
NOT,49.47199603,-124.7776369,Reference Site,July 22 2016,Baynes Sound,1,Baynes12,35,No,,,,,,,
NOT,49.47199603,-124.7776369,Reference Site,July 22 2016,Baynes Sound,1,Baynes13,20,No,,,,,,,
NOT,49.47199603,-124.7776369,Reference Site,July 22 2016,Baynes Sound,1,Baynes14,25,No,,,,,,,
NOT,49.47199603,-124.7776369,Reference Site,July 22 2016,Baynes Sound,1,Baynes15,25,No,,,,,,,
NOT,49.47199603,-124.7776369,Reference Site,July 22 2016,Baynes Sound,1,Baynes16,51,No,,,,,,,
NOT,49.47199603,-124.7776369,Reference Site,July 22 2016,Baynes Sound,1,Baynes17,45,No,,,,,,,
NOT,49.47199603,-124.7776369,Reference Site,July 22 2016,Baynes Sound,1,Baynes18,25,No,,,,,,,
NOT,49.47199603,-124.7776369,Reference Site,July 22 2016,Baynes Sound,1,Baynes19,20,No,,,,,,,
NOT,49.47199603,-124.7776369,Reference Site,July 22 2016,Baynes Sound,1,Baynes20,30,No,,,,,,,
NOT,49.47199603,-124.7776369,Reference Site,July 22 2016,Baynes Sound,1,Baynes21,38,No,,,,,,,
NOT,49.47199603,-124.7776369,Reference Site,July 22 2016,Baynes Sound,1,Baynes22,52,No,,,,,,,
NOT,49.47199603,-124.7776369,Reference Site,July 22 2016,Baynes Sound,3,Baynes23,15,No,,,,,,,
NOT,49.47199603,-124.7776369,Reference Site,July 22 2016,Baynes Sound,3,Baynes24,30,Yes,Female,,,,,,
NOT,49.47199603,-124.7776369,Reference Site,July 22 2016,Baynes Sound,3,Baynes25,10,No,,,,,,,
NOT,49.47199603,-124.7776369,Reference Site,July 22 2016,Baynes Sound,3,Baynes26,22,No,,,,,,,
NOT,49.47199603,-124.7776369,Reference Site,July 22 2016,Baynes Sound,3,Baynes27,20,No,,,,,,,
NOT,49.47199603,-124.7776369,Reference Site,July 22 2016,Baynes Sound,3,Baynes28,40,No,,,,,,,
NOT,49.47199603,-124.7776369,Reference Site,July 22 2016,Baynes Sound,3,Baynes29,10,No,,,,,,,
NOT,49.47199603,-124.7776369,Reference Site,July 22 2016,Baynes Sound,3,Baynes30,15,No,,,,,,,
NOT,49.47199603,-124.7776369,Reference Site,July 22 2016,Baynes Sound,3,Baynes31,50,No,,,,,,,
NOT,49.47199603,-124.7776369,Reference Site,July 22 2016,Baynes Sound,3,Baynes32,20,No,,,,,,,
NOT,49.47199603,-124.7776369,Reference Site,July 22 2016,Baynes Sound,3,Baynes33,10,No,,,,,,,
NOT,49.47199603,-124.7776369,Reference Site,July 22 2016,Baynes Sound,3,Baynes34,50,No,,,,,,,
NOT,49.47199603,-124.7776369,Reference Site,July 22 2016,Baynes Sound,3,Baynes35,40,No,,,,,,,
NOT,49.47199603,-124.7776369,Reference Site,July 22 2016,Baynes Sound,4,Baynes36,20,No,,,,,,,
NOT,49.47199603,-124.7776369,Reference Site,July 22 2016,Baynes Sound,4,Baynes37,20,No,,,,,,,
NOT,49.47199603,-124.7776369,Reference Site,July 22 2016,Baynes Sound,4,Baynes38,30,No,,,,,,,
NOT,49.47199603,-124.7776369,Reference Site,July 22 2016,Baynes Sound,4,Baynes39,30,No,,,,,,,
NOT,49.47199603,-124.7776369,Reference Site,July 22 2016,Baynes Sound,4,Baynes40,20,No,,,,,,,
NOT,49.47199603,-124.7776369,Reference Site,July 22 2016,Baynes Sound,4,Baynes41,30,No,,,,,,,
NOT,49.47199603,-124.7776369,Reference Site,July 22 2016,Baynes Sound,4,Baynes42,38,No,,,,,,,
NOT,49.47199603,-124.7776369,Reference Site,July 22 2016,Baynes Sound,4,Baynes43,39,No,,,,,,,
NOT,49.47199603,-124.7776369,Reference Site,July 22 2016,Baynes Sound,4,Baynes44,20,No,,,,,,,
NOT,49.47199603,-124.7776369,Reference Site,July 22 2016,Baynes Sound,4,Baynes45,10,No,,,,,,,
NOT,49.47199603,-124.7776369,Reference Site,July 22 2016,Baynes Sound,4,Baynes46,20,No,,,,,,,
NOT,49.47199603,-124.7776369,Reference Site,July 22 2016,Baynes Sound,2,Baynes47,20,No,,,,,,,
NOT,49.47199603,-124.7776369,Reference Site,July 22 2016,Baynes Sound,2,Baynes48,20,No,,,,,,,
NOT,49.47199603,-124.7776369,Reference Site,July 22 2016,Baynes Sound,2,Baynes49,35,No,,,,,,,
NOT,49.47199603,-124.7776369,Reference Site,July 22 2016,Baynes Sound,2,Baynes50,40,No,,,,,,,
NOT,49.47199603,-124.7776369,Reference Site,July 22 2016,Baynes Sound,2,Baynes51,30,No,,,,,,,
NOT,49.47199603,-124.7776369,Reference Site,July 22 2016,Baynes Sound,2,Baynes52,15,No,,,,,,,
NOT,49.47199603,-124.7776369,Reference Site,July 22 2016,Baynes Sound,5,Baynes53,10,No,,,,,,,
NOT,49.47199603,-124.7776369,Reference Site,July 22 2016,Baynes Sound,5,Baynes54,12,No,,,,,,,
NOT,49.47199603,-124.7776369,Reference Site,July 22 2016,Baynes Sound,5,Baynes55,10,No,,,,,,,
NOT,49.47199603,-124.7776369,Reference Site,July 22 2016,Baynes Sound,5,Baynes56,10,No,,,,,,,
NOT,49.47199603,-124.7776369,Reference Site,July 22 2016,Baynes Sound,5,Baynes57,20,No,,,,,,,
Reid,49.46427564,-124.7539273,Shellfish Farm,July 19 2016,Baynes Sound,3,Baynes58,26,Yes,Both,,,,,,
Reid,49.46427564,-124.7539273,Shellfish Farm,July 19 2016,Baynes Sound,3,Baynes59,38,No,,,,,,,
