coreid,aec:associatedTaxa,dc:rights,dcterms:accessRights,dcterms:bibliographicCitation,dcterms:language,dcterms:license,dcterms:modified,dcterms:references,dcterms:rights,dcterms:rightsHolder,dcterms:source,dcterms:type,dwc:Identification,dwc:MeasurementOrFact,dwc:ResourceRelationship,dwc:VerbatimEventDate,dwc:acceptedNameUsage,dwc:accessRights,dwc:associatedMedia,dwc:associatedOccurrences,dwc:associatedOrganisms,dwc:associatedReferences,dwc:associatedSequences,dwc:associatedTaxa,dwc:basisOfRecord,dwc:bed,dwc:behavior,dwc:catalogNumber,dwc:class,dwc:classs,dwc:collectionCode,dwc:collectionID,dwc:continent,dwc:coordinatePrecision,dwc:coordinateUncertaintyInMeters,dwc:country,dwc:countryCode,dwc:county,dwc:dataGeneralizations,dwc:datasetID,dwc:datasetName,dwc:dateIdentified,dwc:day,dwc:decimalLatitude,dwc:decimalLongitude,dwc:disposition,dwc:dynamicProperties,dwc:earliestAgeOrLowestStage,dwc:earliestEonOrLowestEonothem,dwc:earliestEpochOrLowestSeries,dwc:earliestEraOrLowestErathem,dwc:earliestPeriodOrLowestSystem,dwc:endDayOfYear,dwc:establishmentMeans,dwc:eventDate,dwc:eventID,dwc:eventRemarks,dwc:eventTime,dwc:family,dwc:fieldNotes,dwc:fieldNumber,dwc:footprintSRS,dwc:footprintSpatialFit,dwc:footprintWKT,dwc:formation,dwc:genus,dwc:geodeticDatum,dwc:geologicalContextID,dwc:georeferenceProtocol,dwc:georeferenceRemarks,dwc:georeferenceSources,dwc:georeferenceVerificationStatus,dwc:georeferencedBy,dwc:georeferencedDate,dwc:group,dwc:habitat,dwc:higherClassification,dwc:higherGeography,dwc:higherGeographyID,dwc:highestBiostratigraphicZone,dwc:identificationID,dwc:identificationQualifier,dwc:identificationReferences,dwc:identificationRemarks,dwc:identificationVerificationStatus,dwc:identifiedBy,dwc:individualCount,dwc:informationWithheld,dwc:infraspecificEpithet,dwc:institutionCode,dwc:institutionID,dwc:island,dwc:islandGroup,dwc:kingdom,dwc:language,dwc:latestAgeOrHighestStage,dwc:latestEonOrHighestEonothem,dwc:latestEpochOrHighestSeries,dwc:latestEraOrHighestErathem,dwc:latestPeriodOrHighestSystem,dwc:lifeStage,dwc:lithostratigraphicTerms,dwc:locality,dwc:locationAccordingTo,dwc:locationID,dwc:locationRemarks,dwc:lowestBiostratigraphicZone,dwc:materialSampleID,dwc:maximumDepthInMeters,dwc:maximumElevationInMeters,dwc:member,dwc:minimumDepthInMeters,dwc:minimumElevationInMeters,dwc:modified,dwc:month,dwc:municipality,dwc:nameAccordingTo,dwc:nameAccordingToID,dwc:namePublishedIn,dwc:namePublishedInID,dwc:namePublishedInYear,dwc:nomenclaturalCode,dwc:nomenclaturalStatus,dwc:occurrenceDetails,dwc:occurrenceID,dwc:occurrenceRemarks,dwc:occurrenceStatus,dwc:order,dwc:organismID,dwc:organismName,dwc:organismQuantity,dwc:organismQuantityType,dwc:originalNameUsage,dwc:otherCatalogNumbers,dwc:ownerInstitutionCode,dwc:parentNameUsage,dwc:phylum,dwc:pointRadiusSpatialFit,dwc:preparations,dwc:previousIdentifications,dwc:recordNumber,dwc:recordedBy,dwc:reproductiveCondition,dwc:rights,dwc:rightsHolder,dwc:samplingEffort,dwc:samplingProtocol,dwc:scientificName,dwc:scientificNameAuthorship,dwc:scientificNameID,dwc:sex,dwc:specificEpithet,dwc:startDayOfYear,dwc:stateProvince,dwc:subgenus,dwc:taxonID,dwc:taxonRank,dwc:taxonRemarks,dwc:taxonomicStatus,dwc:typeStatus,dwc:verbatimCoordinateSystem,dwc:verbatimCoordinates,dwc:verbatimDepth,dwc:verbatimElevation,dwc:verbatimEventDate,dwc:verbatimLatitude,dwc:verbatimLocality,dwc:verbatimLongitude,dwc:verbatimSRS,dwc:verbatimTaxonRank,dwc:vernacularName,dwc:waterBody,dwc:year,gbif:Identifier,gbif:Reference,idigbio:recordId,symbiota:recordEnteredBy,symbiota:verbatimScientificName,zan:ChronometricDate
78b15c16-de64-44e2-a467-20b7f0870082,,,,,en,http://arctosdb.org/home/data/,2017-07-19 18:09:44.0,http://arctos.database.museum/guid/UAM:Inv:9888,,,,PhysicalObject,,,"[{""coreid"": ""http://arctos.database.museum/guid/UAM:Inv:9888?seid=2363514"", ""dwc:relatedResourceID"": ""urn:occurrence:Arctos:UAM:Inv:9888:2363514"", ""dwc:relationshipOfResource"": ""sameAs""}]",,,,,,,,,,PreservedSpecimen,,,9888,Malacostraca,,Invertebrate specimens,,North America,,,United States,,,,,,1966-06-30,20,55.42,-132.39,,,,,,,,201,wild caught,1962-07-20,,,,Upogebiidae,,,,,,,Upogebia,unknown,,not recorded,,not recorded,unverified,Isaac Firesmith,2014-07-14 00:00:00.0,,,Animalia; Arthropoda; Malacostraca; Decapoda; Upogebiidae;,"North America, United States, Alaska, Craig Quad, Alexander Archipelago",,,,A,,,legacy,B. L. Wing,1,,,UAM,urn:lsid:biocol.org:col:34847,,Alexander Archipelago,Animalia,,,,,,,,,Prince of Wales Is.,Isaac Firesmith,,,,,,,,,,,07,,,,,,,ICZN,,,http://arctos.database.museum/guid/UAM:Inv:9888?seid=2363514,"data taken from same AB number collection event jar states ""Gallatin"" as collector but not evidence of who that is found",,Decapoda,http://arctos.database.museum/guid/UAM:Inv:9888,,,,,original identifier=AB62-0353,,,Arthropoda,,whole organism (isopropanol),<i>Upogebia pugettensis</i> (accepted ID) identified by B. L. Wing on 1966-06-30; method: legacy,,Collector(s): B. L. Wing,,,,,,Upogebia pugettensis,,,,pugettensis,,Alaska,,,,,,,decimal degrees,55.42/-132.39,,,19620720,,Prince of Wales Is.,,,,,,1962,,,,,,
d7103559-10de-4004-810b-185c76b5793b,,,,,en,http://arctosdb.org/home/data/,2017-07-19 18:09:44.0,http://arctos.database.museum/guid/UAM:Inv:9933,,,,PhysicalObject,,,"[{""coreid"": ""http://arctos.database.museum/guid/UAM:Inv:9933?seid=2363498"", ""dwc:relatedResourceID"": ""urn:occurrence:Arctos:UAM:Inv:9933:2363498"", ""dwc:relationshipOfResource"": ""sameAs""}]",,,,,,,,,,PreservedSpecimen,,,9933,Malacostraca,,Invertebrate specimens,,North America,,,United States,,,,,,1965-08-16,16,60.75,-146.18,,,,,,,,228,wild caught,1965-08-16,,,,Upogebiidae,,,,,,,Upogebia,unknown,,not recorded,,not recorded,unverified,Isaac Firesmith,2014-07-14 00:00:00.0,,,Animalia; Arthropoda; Malacostraca; Decapoda; Upogebiidae;,"North America, United States, Alaska, Cordova Quad",,,,A,,,legacy,Joel Hubbard,1,,,UAM,urn:lsid:biocol.org:col:34847,,,Animalia,,,,,,,,,Olsen Bay,Isaac Firesmith,,,,,,,,,,,08,,,,,,,ICZN,,,http://arctos.database.museum/guid/UAM:Inv:9933?seid=2363498,"identifier taken from collector, specimen broken into many tiny pieces and totally dry",,Decapoda,http://arctos.database.museum/guid/UAM:Inv:9933,,,,,original identifier=AB68-0475,,,Arthropoda,,,<i>Upogebia pugettensis</i> (accepted ID) identified by Joel Hubbard on 1965-08-16; method: legacy,,Collector(s): Joel Hubbard,,,,,,Upogebia pugettensis,,,,pugettensis,,Alaska,,,,,,,decimal degrees,60.75/-146.18,,,19650816,,Olsen Bay,,,,,,1965,,,,,,
b41d3835-910d-447e-b4da-746b45bb8ad9,,,,,en,http://arctosdb.org/home/data/,2017-07-19 18:09:44.0,http://arctos.database.museum/guid/UAM:Inv:9930,,,,PhysicalObject,,,"[{""coreid"": ""http://arctos.database.museum/guid/UAM:Inv:9930?seid=2363495"", ""dwc:relatedResourceID"": ""urn:occurrence:Arctos:UAM:Inv:9930:2363495"", ""dwc:relationshipOfResource"": ""sameAs""}]",,,,,,,,,,PreservedSpecimen,,,9930,Malacostraca,,Invertebrate specimens,,North America,,,United States,,,,,,1965-08-15,15,60.75,-146.18,,,,,,,,227,wild caught,1965-08-15,,,,Upogebiidae,,,,,,,Upogebia,unknown,,not recorded,,not recorded,unverified,Isaac Firesmith,2014-07-14 00:00:00.0,,,Animalia; Arthropoda; Malacostraca; Decapoda; Upogebiidae;,"North America, United States, Alaska, Cordova Quad",,,,A,,,legacy,Joel Hubbard,1,,,UAM,urn:lsid:biocol.org:col:34847,,,Animalia,,,,,,,,,Olsen Bay,Isaac Firesmith,,,,,,,,,,,08,,,,,,,ICZN,,,http://arctos.database.museum/guid/UAM:Inv:9930?seid=2363495,identifier taken from collector,,Decapoda,http://arctos.database.museum/guid/UAM:Inv:9930,,,,,original identifier=AB68-0470,,,Arthropoda,,whole organism (isopropanol),<i>Upogebia pugettensis</i> (accepted ID) identified by Joel Hubbard on 1965-08-15; method: legacy,,Collector(s): Joel Hubbard,,,,,,Upogebia pugettensis,,,,pugettensis,,Alaska,,,,,,,decimal degrees,60.75/-146.18,,,19650815,,Olsen Bay,,,,,,1965,,,,,,
19a3bdc7-165d-41de-b37d-2ff7cca56f40,,,,Upogebia pugettensis (CMNC 2004-4307),eng,http://creativecommons.org/licenses/by/4.0/legalcode,2017-11-20 17:16:11.0,,,Canadian Museum of Nature,,PhysicalObject,,,,,,,,,,,,,PreservedSpecimen,,,CMNC 2004-4307,,,CMNC,http://grbio.org/cool/sjd8-70zp,,,,United States,,Sitka Borough,,,Crustacea,,,57.401667,-135.021389,,,,,,,,,,1961-06-10; time: 06:00-08:30,,,,,,,,,,,,NAD27,,,,,,,,,,Animalia; Arthropoda; Crustacea; Malacostraca; Eumalacostraca; Eucarida; Decapoda; Pleocyemata; Gebiidea; Upogebiidae; Upogebia,,,,,,,,,"Hart, Josephine F.L.",3,,,CMN,http://biocol.org/urn:lsid:biocol.org:col:34935,,,,,,,,,,,,"Peril Strait, S of Dead Tree I.",,AK1961-123-032,,,,,,,,,,,,,,,,,,,,581b9945-cf04-f044-5f97-55bdc76c7739,,,,,,,,,,,,,,fluid,,A027,"Bousfield, Edward L.; McAllister, Donald E.",,,,,,Upogebia pugettensis,,,,,,Alaska,,,species,,,,,,,,1961-06-10; time: 06:00-08:30,"57° 24' 6"" N",,"135° 1' 17"" W",,,,,,,,,,,
975a944f-2b55-46d9-be4d-bf2e413124dd,,,,Upogebia sp. (CMNC 2004-4297),eng,http://creativecommons.org/licenses/by/4.0/legalcode,2017-11-20 17:16:12.0,,,Canadian Museum of Nature,,PhysicalObject,,,,,,,,,,,,,PreservedSpecimen,,,CMNC 2004-4297,,,CMNC,http://grbio.org/cool/sjd8-70zp,,,,Canada,,Rupert Land Distr.,,,Crustacea,,,50.503056,-128.083611,,,,,,,,,,1959-07-19; time: 06:00-08:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,CMN,http://biocol.org/urn:lsid:biocol.org:col:34935,,,,,,,,,,,,Browning Inlet,,ELB 1959 O04,,,,,,,,,,,,,,,,,,,,ea7500cd-838a-38a4-d2a9-946ea33b88db,,,,,,,,,,,,,,fluid,,O4,"Bousfield, Edward L.; Quayle, Daniel B.",,,,,,Upogebia sp.,,,,,,British Columbia,,,,,,,,,,,1959-07-19; time: 06:00-08:30,"50° 30' 11"" N",,"128° 5' 1"" W",,,,,,,,,,,
1e9482dc-ca4e-47b2-9acb-c9eb608fecf4,,,,Upogebia sp. (CMNC 2004-4296),eng,http://creativecommons.org/licenses/by/4.0/legalcode,2017-11-20 17:16:11.0,,,Canadian Museum of Nature,,PhysicalObject,,,,,,,,,,,,,PreservedSpecimen,,,CMNC 2004-4296,,,CMNC,http://grbio.org/cool/sjd8-70zp,,,,Canada,,Queen Charlotte Islands Land Distr.,,,Crustacea,,,54.014722,-132.135556,,,,,,,,,,1957-08-26; time: 08:30-11:15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,CMN,http://biocol.org/urn:lsid:biocol.org:col:34935,,,,,,,,,,,,"Masset Sound, Delkatla slough, tidal flats above highway bridge",,ELB 1957 H08a,,,,,,,,,,,Masset,,,,,,,,,b2433535-ea86-a864-41ad-ed4427b136f1,,,,,,,,,,,,,,fluid,,H08a,"Bousfield, Edward L.",,,,,,Upogebia sp.,,,,,,British Columbia,,,,,,,,,,,1957-08-26; time: 08:30-11:15,"54° 0' 53"" N",,"132° 8' 8"" W",,,,,,,,,,,
e1edbb7d-c15c-4df6-9e87-c7c2ad2f1219,,,,Upogebia pugettensis (CMNC 2004-4310),eng,http://creativecommons.org/licenses/by/4.0/legalcode,2017-11-20 17:16:13.0,,,Canadian Museum of Nature,,PhysicalObject,,,,,,,,,,,,,PreservedSpecimen,,,CMNC 2004-4310,,,CMNC,http://grbio.org/cool/sjd8-70zp,,,,United States,,Valdez-Cordova Census Area,,,Crustacea,,,61.080833,-146.674167,,,,,,,,,,1961-07-04; time: 09:30-10:00,,,,,,,,,,,,NAD27,,,,,,,,,,Animalia; Arthropoda; Crustacea; Malacostraca; Eumalacostraca; Eucarida; Decapoda; Pleocyemata; Gebiidea; Upogebiidae; Upogebia,,,,,,,,,"Hart, Josephine F.L.",12,,,CMN,http://biocol.org/urn:lsid:biocol.org:col:34935,,,,,,,,,,,,"Valdez Narrows, steep beach on W side",,AK1961-123-119,,,,,,,,,,,,,,,,,,,,8d8a282c-ba27-a274-9c81-2690b71e1e96,,,,,,,,,,,,,,fluid,,A097,"Bousfield, Edward L.; McAllister, Donald E.",,,,,,Upogebia pugettensis,,,,,,Alaska,,,species,,,,,,,,1961-07-04; time: 09:30-10:00,"61° 4' 51"" N",,"146° 40' 27"" W",,,,,,,,,,,
cf5e8f92-3a07-4be4-aaa3-0dc8bec8e3a1,,,,Upogebia pugettensis (CMNC 2009-0006),eng,http://creativecommons.org/licenses/by/4.0/legalcode,2017-11-20 17:16:18.0,,,Canadian Museum of Nature,,PhysicalObject,,,,,,,,,,,,,PreservedSpecimen,,,CMNC 2009-0006,,,CMNC,http://grbio.org/cool/sjd8-70zp,,,,Canada,,Range 2 Coast Land Distr.,,,Crustacea,,,51.792778,-128.080278,,,,,,,,,,1964-08-08; evening,,,,,,,,,,,,,,,,,,,,,,Animalia; Arthropoda; Crustacea; Malacostraca; Eumalacostraca; Eucarida; Decapoda; Pleocyemata; Gebiidea; Upogebiidae; Upogebia,,,,,,,,,,20,,,CMN,http://biocol.org/urn:lsid:biocol.org:col:34935,,,,,,,,,,,,"cove on SE end, Nalau Passage",,ELB 1964 H57,,,,,,,,,,,,,,,,,,,,1a7bf4d7-01f4-1f44-7080-414bce49f007,,,,,,,,,,,,,,fluid,,,"Bousfield, Edward L.",,,,,,Upogebia pugettensis,,,,,,British Columbia,,,species,,,,,,,,1964-08-08; evening,"51° 47' 34"" N",,"128° 4' 49"" W",,,,,,,,,,,
5767fe8e-bbba-4691-b38b-df42f88e9b0c,,,,Upogebia sp. (CMNC 2004-4301),eng,http://creativecommons.org/licenses/by/4.0/legalcode,2017-11-20 17:16:12.0,,,Canadian Museum of Nature,,PhysicalObject,,,,,,,,,,,,,PreservedSpecimen,,,CMNC 2004-4301,,,CMNC,http://grbio.org/cool/sjd8-70zp,,,,Canada,,Range 2 Coast Land Distr.,,,Crustacea,,,51.275,-127.608333,,,,,,,,,,1966-06-22; time: 09:00-10:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,,CMN,http://biocol.org/urn:lsid:biocol.org:col:34935,,,,,,,,,,,,Takush Harbour beach,,CMNC 2004-4301,,,,,,,,,,,,,,,,,,,,2185a4b4-f7c3-7c34-1792-9894d261dcb6,,,,,,,,,,,,,,fluid,,LM 5,"Marhue, Lennox M.",,,,,,Upogebia sp.,,,,,,British Columbia,,,,,,,,,,,1966-06-22; time: 09:00-10:00,"51° 16' 30"" N",,"127° 36' 30"" W",,,,,,,,,,,
