number	date.collected	year	month	day	date.processed	method	sex.shrimp	length.carapace	length.total	parasite.female	parasite.male	visible.naked	Parasitized	parasite_sex	side	notes	original_sheet
UPBPCalvert55	02-Aug-18	2018	August	2					44				N	None			PugettensisCalvertAugV1D1
UPBPCalvert56	02-Aug-18	2018	August	2					42				N	None			PugettensisCalvertAugV1D1
UPBPCalvert57	02-Aug-18	2018	August	2					29				N	None			PugettensisCalvertAugV1D1
UPBPCalvert58	02-Aug-18	2018	August	2					42				N	None			PugettensisCalvertAugV1D1
UPBPCalvert59	02-Aug-18	2018	August	2					15				N	None			PugettensisCalvertAugV1D1
UPBPCalvert60	02-Aug-18	2018	August	2					35				N	None			PugettensisCalvertAugV1D1
UPBPCalvert61	02-Aug-18	2018	August	2					30				N	None			PugettensisCalvertAugV1D1
UPBPCalvert62	02-Aug-18	2018	August	2					68				N	None			PugettensisCalvertAugV1D1
UPBPCalvert64	02-Aug-18	2018	August	2					46				N	None			PugettensisCalvertAugV1D1
UPBPCalvert65	02-Aug-18	2018	August	2					52				N	None			PugettensisCalvertAugV1D1
UPBPCalvert66	02-Aug-18	2018	August	2					54				N	None			PugettensisCalvertAugV1D1
UPBPCalvert67	02-Aug-18	2018	August	2					59				N	None			PugettensisCalvertAugV1D1
UPBPCalvert68	02-Aug-18	2018	August	2					42				N	None			PugettensisCalvertAugV1D1
UPBPCalvert69	02-Aug-18	2018	August	2					50				N	None			PugettensisCalvertAugV1D1
UPBPCalvert72	02-Aug-18	2018	August	2					45				N	None			PugettensisCalvertAugV1D1
UPBPCalvert74	02-Aug-18	2018	August	2					40				N	None			PugettensisCalvertAugV1D1
UPBPCalvert75	02-Aug-18	2018	August	2					43				N	None			PugettensisCalvertAugV1D1
UPBPCalvert76	02-Aug-18	2018	August	2					35				N	None			PugettensisCalvertAugV1D1
UPBPCalvert77	02-Aug-18	2018	August	2					41				N	None			PugettensisCalvertAugV1D1
UPBPCalvert78	02-Aug-18	2018	August	2					45				N	None			PugettensisCalvertAugV1D1
UPBPCalvert79	02-Aug-18	2018	August	2					34				N	None			PugettensisCalvertAugV1D1
UPBPCalvert80	02-Aug-18	2018	August	2					44				N	None			PugettensisCalvertAugV1D1
UPBPCalvert82	02-Aug-18	2018	August	2					43				N	None			PugettensisCalvertAugV1D1
UPBPCalvert83	02-Aug-18	2018	August	2					40				N	None			PugettensisCalvertAugV1D1
UPBPCalvert84	02-Aug-18	2018	August	2					39				N	None			PugettensisCalvertAugV1D1
UPBPCalvert85	02-Aug-18	2018	August	2					33				N	None			PugettensisCalvertAugV1D1
UPBPCalvert86	02-Aug-18	2018	August	2					32				N	None			PugettensisCalvertAugV1D1
UPBPCalvert87	02-Aug-18	2018	August	2					30				N	None			PugettensisCalvertAugV1D1
UPBPCalvert88	02-Aug-18	2018	August	2					32				N	None			PugettensisCalvertAugV1D1
UPBPCalvert89	02-Aug-18	2018	August	2					34				N	None			PugettensisCalvertAugV1D1
UPBPCalvert90	02-Aug-18	2018	August	2					55				N	None			PugettensisCalvertAugV1D1
UPBPCalvert91	02-Aug-18	2018	August	2					44				N	None			PugettensisCalvertAugV1D1
UPBPCalvert92	02-Aug-18	2018	August	2					28				N	None			PugettensisCalvertAugV1D1
UPBPCalvert93	02-Aug-18	2018	August	2					40				N	None			PugettensisCalvertAugV1D1
UPBPCalvert94	02-Aug-18	2018	August	2					39				N	None			PugettensisCalvertAugV1D1
UPBPCalvert95	02-Aug-18	2018	August	2					34				N	None			PugettensisCalvertAugV1D1
1	20180814	2018	August	14	20180917	slurp gun	female	20	61	0	0	0	N	None			Upogebia+Orthione_20180814_Ben+Matt
3	20180814	2018	August	14	20180917	slurp gun	female	23.5	73	0	0	0	N	None			Upogebia+Orthione_20180814_Ben+Matt
4	20180814	2018	August	14	20180917	slurp gun	female	15	50	0	0	0	N	None			Upogebia+Orthione_20180814_Ben+Matt
7	20180814	2018	August	14	20180917	slurp gun	male	20.5	65	0	0	0	N	None			Upogebia+Orthione_20180814_Ben+Matt
8	20180814	2018	August	14	20180917	slurp gun	male	17	53	0	0	0	N	None			Upogebia+Orthione_20180814_Ben+Matt
9	20180814	2018	August	14	20180917	slurp gun	female	17.5	55	0	0	0	N	None			Upogebia+Orthione_20180814_Ben+Matt
10	20180814	2018	August	14	20180917	slurp gun	female	17.5	53.5	0	0	0	N	None			Upogebia+Orthione_20180814_Ben+Matt
11	20180814	2018	August	14	20180917	slurp gun	male	12.5	35	0	0	0	N	None			Upogebia+Orthione_20180814_Ben+Matt
12	20180814	2018	August	14	20180917	slurp gun	male	12.5	38	0	0	0	N	None			Upogebia+Orthione_20180814_Ben+Matt
13	20180814	2018	August	14	20180917	slurp gun	female	15.5	49	0	0	0	N	None			Upogebia+Orthione_20180814_Ben+Matt
14	20180814	2018	August	14	20180917	slurp gun	male	22.5	70	0	0	0	N	None			Upogebia+Orthione_20180814_Ben+Matt
15	20180814	2018	August	14	20180917	slurp gun	male	9.5	30	0	0	0	N	None			Upogebia+Orthione_20180814_Ben+Matt
17	20180814	2018	August	14	20180917	slurp gun	female	15	48.5	0	0	0	N	None			Upogebia+Orthione_20180814_Ben+Matt
18	20180814	2018	August	14	20180917	slurp gun	female	14.5	44.5	0	0	0	N	None			Upogebia+Orthione_20180814_Ben+Matt
19	20180814	2018	August	14	20180917	slurp gun	female	16.5	53	0	0	1	N	None	L	false positive	Upogebia+Orthione_20180814_Ben+Matt
20	20180814	2018	August	14	20180917	slurp gun	male	11.5	34	0	0	0	N	None			Upogebia+Orthione_20180814_Ben+Matt
21	20180814	2018	August	14	20180917	slurp gun	female	19.5	66	0	0	0	N	None			Upogebia+Orthione_20180814_Ben+Matt
22	20180814	2018	August	14	20180917	slurp gun	male	7.5	22	0	0	0	N	None			Upogebia+Orthione_20180814_Ben+Matt
23	20180814	2018	August	14	20180917	excavation	male	14.5	42	0	0	0	N	None			Upogebia+Orthione_20180814_Ben+Matt
24	20180814	2018	August	14	20180917	excavation	male	18	55	0	0	0	N	None			Upogebia+Orthione_20180814_Ben+Matt
26	20180814	2018	August	14	20180917	excavation	male	24.5	74	0	0	0	N	None			Upogebia+Orthione_20180814_Ben+Matt
29	20180814	2018	August	14	20180917	excavation	male	15.5	48	0	0	0	N	None			Upogebia+Orthione_20180814_Ben+Matt
30	20180814	2018	August	14	20180917	excavation	male	20.5	60	0	0	0	N	None			Upogebia+Orthione_20180814_Ben+Matt
33	20180814	2018	August	14	20180917	excavation	female	15.5	45	0	0	0	N	None			Upogebia+Orthione_20180814_Ben+Matt
34	20180814	2018	August	14	20180917	excavation	male	14.5	43.5	0	0	0	N	None			Upogebia+Orthione_20180814_Ben+Matt
35	20180814	2018	August	14	20180917	excavation	female	16	48	0	0	0	N	None			Upogebia+Orthione_20180814_Ben+Matt
36	20180814	2018	August	14	20180917	excavation	female	18	47	0	0	0	N	None			Upogebia+Orthione_20180814_Ben+Matt
37	20180814	2018	August	14	20180917	excavation	male	13.5	42	0	0	0	N	None			Upogebia+Orthione_20180814_Ben+Matt
38	20180814	2018	August	14	20180917	excavation	female	14	43	0	0	0	N	None			Upogebia+Orthione_20180814_Ben+Matt
39	20180814	2018	August	14	20180917	excavation	female	25.5	77	0	0	0	N	None		extra pleopod only on on side of body	Upogebia+Orthione_20180814_Ben+Matt
40	20180814	2018	August	14	20180917	excavation	male	16	49	0	0	0	N	None			Upogebia+Orthione_20180814_Ben+Matt
41	20180814	2018	August	14	20180917	excavation	male	13.5	42	0	0	0	N	None			Upogebia+Orthione_20180814_Ben+Matt
42	20180814	2018	August	14	20180917	excavation	male	15.5	43	0	0	0	N	None			Upogebia+Orthione_20180814_Ben+Matt
44	20180814	2018	August	14	20180917	excavation	female	16.5	51	0	0	0	N	None			Upogebia+Orthione_20180814_Ben+Matt
45	20180814	2018	August	14	20180917	excavation	male	17.5	52	0	0	0	N	None			Upogebia+Orthione_20180814_Ben+Matt
46	20180814	2018	August	14	20180917	excavation	female	12	37	0	0	0	N	None			Upogebia+Orthione_20180814_Ben+Matt
47	20180814	2018	August	14	20180917	excavation	male	20	60	0	0	0	N	None			Upogebia+Orthione_20180814_Ben+Matt
1	20190119	2019	January	1	20190119	excavation	male	12.3	35.7	0	0		N	None			201901_Upogebia_Ben+Matt
2	20190119	2019	January	1	20190119	excavation	male	5.4	17.7	0	0		N	None			201901_Upogebia_Ben+Matt
4	20190119	2019	January	1	20190119	excavation	male	12.7	39	0	0		N	None			201901_Upogebia_Ben+Matt
5	20190119	2019	January	1	20190119	excavation	female	14.3	45.1	0	0		N	None			201901_Upogebia_Ben+Matt
7	20190119	2019	January	1	20190119	excavation	male	23.1	70	0	0		N	None		weird membrane under gill cover	201901_Upogebia_Ben+Matt
10	20190119	2019	January	1	20190119	excavation	male	18.7	56.9	0	0		N	None			201901_Upogebia_Ben+Matt
11	20190119	2019	January	1	20190119	excavation	male	14.7	42	0	0		N	None			201901_Upogebia_Ben+Matt
12	20190119	2019	January	1	20190119	excavation	male	26.4	82.6	0	0		N	None			201901_Upogebia_Ben+Matt
13	20190119	2019	January	1	20190119	excavation	male	14.6	46.1	0	0		N	None			201901_Upogebia_Ben+Matt
14	20190119	2019	January	1	20190119	excavation	female	11.2	35.3	0	0		N	None			201901_Upogebia_Ben+Matt
15	20190119	2019	January	1	20190119	excavation	male	13.7	42.8	0	0		N	None			201901_Upogebia_Ben+Matt
16	20190119	2019	January	1	20190119	excavation	male	13.5	40.8	0	0		N	None			201901_Upogebia_Ben+Matt
17	20190119	2019	January	1	20190119	excavation	female	4.1	19.2	0	0		N	None			201901_Upogebia_Ben+Matt
18	20190119	2019	January	1	20190119	excavation	male	9.2	28.8	0	0		N	None			201901_Upogebia_Ben+Matt
19	20190119	2019	January	1	20190119	excavation	male	10.2	29.8	0	0		N	None			201901_Upogebia_Ben+Matt
20	20190119	2019	January	1	20190119	excavation	male	11.2	34.8	0	0		N	None			201901_Upogebia_Ben+Matt
21	20190119	2019	January	1	20190119	excavation	male	16.2	NA	0	0		N	None		only retained half of organism	201901_Upogebia_Ben+Matt
23	20190119	2019	January	1	20190119	excavation	male	15.1	NA	0	0		N	None		only retained half of organism	201901_Upogebia_Ben+Matt
24	20190119	2019	January	1	20190119	excavation	male	23.4	55.8	0	0		N	None			201901_Upogebia_Ben+Matt
25	20190119	2019	January	1	20190119	excavation	male	14.2	43.7	0	0		N	None			201901_Upogebia_Ben+Matt
26	20190119	2019	January	1	20190119	excavation	female	16.7	51	0	0		N	None			201901_Upogebia_Ben+Matt
27	20190119	2019	January	1	20190119	excavation	male	9.7	29	0	0		N	None			201901_Upogebia_Ben+Matt
28	20190119	2019	January	1	20190119	excavation	male	10.7	33.3	0	0		N	None			201901_Upogebia_Ben+Matt
29	20190119	2019	January	1	20190119	excavation	female	11.7	34.6	0	0		N	None			201901_Upogebia_Ben+Matt
30	20190119	2019	January	1	20190119	excavation	male	17.8	54.5	0	0		N	None			201901_Upogebia_Ben+Matt
31	20190119	2019	January	1	20190119	excavation	male	20.8	63.4	0	0		N	None			201901_Upogebia_Ben+Matt
32	20190119	2019	January	1	20190119	excavation	male	6	19.8	0	0		N	None			201901_Upogebia_Ben+Matt
33	20190119	2019	January	1	20190119	excavation	male	11.2	NA	0	0		N	None		only retained half of organism	201901_Upogebia_Ben+Matt
34	20190119	2019	January	1	20190119	excavation	male	13.4	39.8	0	0		N	None			201901_Upogebia_Ben+Matt
35	20190119	2019	January	1	20190119	excavation	male	14.3	41.3	0	0		N	None			201901_Upogebia_Ben+Matt
36	20190119	2019	January	1	20190119	excavation	female	21.6	66.7	0	0		N	None			201901_Upogebia_Ben+Matt
37	20190119	2019	January	1	20190119	excavation	male	12.7	39	0	0		N	None			201901_Upogebia_Ben+Matt
39	20190119	2019	January	1	20190119	excavation	male	4.7	13.2	0	0		N	None			201901_Upogebia_Ben+Matt
40	20190119	2019	January	1	20190119	excavation	female	7.4	21.1	0	0		N	None			201901_Upogebia_Ben+Matt
41	20190119	2019	January	1	20190119	excavation	female	10.3	32.1	0	0		N	None			201901_Upogebia_Ben+Matt
42	20190119	2019	January	1	20190119	excavation	female	15	46.1	0	0		N	None			201901_Upogebia_Ben+Matt
43	20190119	2019	January	1	20190119	excavation	male	7.2	22.4	0	0		N	None			201901_Upogebia_Ben+Matt
44	20190119	2019	January	1	20190119	excavation	female	22.4	71.4	0	0		N	None			201901_Upogebia_Ben+Matt
45	20190119	2019	January	1	20190119	excavation	male	25.6	78.4	0	0		N	None			201901_Upogebia_Ben+Matt
46	20190119	2019	January	1	20190119	excavation	female	15.1	45.2	0	0		N	None			201901_Upogebia_Ben+Matt
47	20190119	2019	January	1	20190119	excavation	male	12	35.5	0	0		N	None			201901_Upogebia_Ben+Matt
48	20190119	2019	January	1	20190119	excavation	female	17.6	54	0	0		N	None			201901_Upogebia_Ben+Matt
49	20190119	2019	January	1	20190119	excavation	male	7.4	22.8	0	0		N	None			201901_Upogebia_Ben+Matt
50	20190119	2019	January	1	20190119	excavation	female	13.8	41	0	0		N	None			201901_Upogebia_Ben+Matt
51	20190119	2019	January	1	20190119	excavation	female	15.2	49.5	0	0		N	None			201901_Upogebia_Ben+Matt
52	20190119	2019	January	1	20190119	excavation	male	16.1	47.7	0	0		N	None			201901_Upogebia_Ben+Matt
54	20190119	2019	January	1	20190119	excavation	female	22.9	NA	0	0		N	None		only retained half of organism	201901_Upogebia_Ben+Matt
55	20190119	2019	January	1	20190119	excavation	male	6.8	19.9	0	0		N	None			201901_Upogebia_Ben+Matt
56	20190119	2019	January	1	20190119	excavation	female	18.7	64	0	0		N	None			201901_Upogebia_Ben+Matt
57	20190119	2019	January	1	20190119	excavation	male	24	64.9	0	0		N	None			201901_Upogebia_Ben+Matt
58	20190119	2019	January	1	20190119	excavation	female	8.1	25	0	0		N	None			201901_Upogebia_Ben+Matt
59	20190119	2019	January	1	20190119	excavation	female	15	46.5	0	0		N	None			201901_Upogebia_Ben+Matt
60	20190119	2019	January	1	20190119	excavation	female	6.8	19.9	0	0		N	None			201901_Upogebia_Ben+Matt
61	20190119	2019	January	1	20190119	excavation	male	8.1	22.5	0	0		N	None			201901_Upogebia_Ben+Matt
62	20190119	2019	January	1	20190119	excavation	female	14.8	41.1	0	0		N	None			201901_Upogebia_Ben+Matt
