number	date.collected	year	month	day	date.processed	method	sex.shrimp	length.carapace	length.total	parasite.female	parasite.male	visible.naked	Parasitized	parasite_sex	side	notes	original_sheet
UPBPCalvert96	29-Jul-18	2018	July	18					56				Y	Female_and_Male			PugettensisCalvertAugV1D1
UPBPCalvert112	29-Jul-18	2018	July	18					71				Y	Female_and_Male			PugettensisCalvertAugV1D1
UPBPCalvert116	29-Jul-18	2018	July	18					72				Y	Female_and_Male			PugettensisCalvertAugV1D1
UPBPCalvert118	29-Jul-18	2018	July	18					39				Y	Female_and_Male			PugettensisCalvertAugV1D1
UPBPCalvert9	02-Aug-18	2018	August	2					64				Y	Female_and_Male			PugettensisCalvertAugV1D1
UPBPCalvert25	02-Aug-18	2018	August	2					49				Y	Female_and_Male			PugettensisCalvertAugV1D1
UPBPCalvert44	02-Aug-18	2018	August	2					50				Y	Female_and_Male			PugettensisCalvertAugV1D1
UPBPCalvert48	02-Aug-18	2018	August	2					50				Y	Female_and_Male			PugettensisCalvertAugV1D1
UPBPCalvert52	02-Aug-18	2018	August	2					45				Y	Female_and_Male			PugettensisCalvertAugV1D1
UPBPCalvert63	02-Aug-18	2018	August	2					74				Y	Female_and_Male			PugettensisCalvertAugV1D1
UPBPCalvert71	02-Aug-18	2018	August	2					47				Y	Female_and_Male			PugettensisCalvertAugV1D1
UPBPCalvert81	02-Aug-18	2018	August	2					48				Y	Female_and_Male			PugettensisCalvertAugV1D1
2	20180814	2018	August	14	20180917	slurp gun	male	22	66	1	1	1	Y	Female_and_Male	R		Upogebia+Orthione_20180814_Ben+Matt
6	20180814	2018	August	14	20180917	slurp gun	male	13	41	1	1	1	Y	Female_and_Male	L		Upogebia+Orthione_20180814_Ben+Matt
25	20180814	2018	August	14	20180917	excavation	female	26.5	81	1	1	1	Y	Female_and_Male	L	big female	Upogebia+Orthione_20180814_Ben+Matt
27	20180814	2018	August	14	20180917	excavation	female	25.5	78	1	1	1	Y	Female_and_Male	R	small female	Upogebia+Orthione_20180814_Ben+Matt
28	20180814	2018	August	14	20180917	excavation	male	25.5	77	1	1	0	Y	Female_and_Male	R	small female	Upogebia+Orthione_20180814_Ben+Matt
31	20180814	2018	August	14	20180917	excavation	female	22	62	1	1	1	Y	Female_and_Male	R	big female	Upogebia+Orthione_20180814_Ben+Matt
32	20180814	2018	August	14	20180917	excavation	female	20.5	60	1	1	1	Y	Female_and_Male	L	big female	Upogebia+Orthione_20180814_Ben+Matt
43	20180814	2018	August	14	20180917	excavation	male	17	52	1	1	1	Y	Female_and_Male	R	big female	Upogebia+Orthione_20180814_Ben+Matt
3	20190119	2019	January	1	20190119	excavation	female	12.4	32.5	1	1		Y	Female_and_Male			201901_Upogebia_Ben+Matt
9	20190119	2019	January	1	20190119	excavation	male	15.5	47.7	1	1		Y	Female_and_Male			201901_Upogebia_Ben+Matt
38	20190119	2019	January	1	20190119	excavation	female	22.2	69.1	1	1		Y	Female_and_Male			201901_Upogebia_Ben+Matt
63	20190119	2019	January	1	20190119	excavation	female	22.8	62.5	1	1		Y	Female_and_Male			201901_Upogebia_Ben+Matt
UPBPCalvert106	29-Jul-18	2018	July	18					58				Y	Female_only			PugettensisCalvertAugV1D1
UPBPCalvert107	29-Jul-18	2018	July	18					65				Y	Female_only			PugettensisCalvertAugV1D1
UPBPCalvert110	29-Jul-18	2018	July	18					54				Y	Female_only			PugettensisCalvertAugV1D1
UPBPCalvert111	29-Jul-18	2018	July	18					45				Y	Female_only			PugettensisCalvertAugV1D1
UPBPCalvert115	29-Jul-18	2018	July	18					41				Y	Female_only			PugettensisCalvertAugV1D1
UPBPCalvert117	29-Jul-18	2018	July	18					38				Y	Female_only			PugettensisCalvertAugV1D1
UPBPCalvert119	29-Jul-18	2018	July	18					53				Y	Female_only			PugettensisCalvertAugV1D1
UPBPCalvert3	02-Aug-18	2018	August	2					51				Y	Female_only			PugettensisCalvertAugV1D1
UPBPCalvert4	02-Aug-18	2018	August	2					65				Y	Female_only			PugettensisCalvertAugV1D1
UPBPCalvert10	02-Aug-18	2018	August	2					68				Y	Female_only			PugettensisCalvertAugV1D1
UPBPCalvert14	02-Aug-18	2018	August	2					54				Y	Female_only			PugettensisCalvertAugV1D1
UPBPCalvert26	02-Aug-18	2018	August	2					54				Y	Female_only			PugettensisCalvertAugV1D1
UPBPCalvert27	02-Aug-18	2018	August	2					55				Y	Female_only			PugettensisCalvertAugV1D1
UPBPCalvert28	02-Aug-18	2018	August	2					45				Y	Female_only			PugettensisCalvertAugV1D1
UPBPCalvert49	02-Aug-18	2018	August	2					42				Y	Female_only			PugettensisCalvertAugV1D1
UPBPCalvert53	02-Aug-18	2018	August	2					45				Y	Female_only			PugettensisCalvertAugV1D1
UPBPCalvert70	02-Aug-18	2018	August	2					45				Y	Female_only			PugettensisCalvertAugV1D1
UPBPCalvert73	02-Aug-18	2018	August	2					40				Y	Female_only			PugettensisCalvertAugV1D1
16	20180814	2018	August	14	20180917	slurp gun	female	26	82	1	0	1	Y	Female_only	L		Upogebia+Orthione_20180814_Ben+Matt
6	20190119	2019	January	1	20190119	excavation	female	21.8	81.8	1	0		Y	Female_only			201901_Upogebia_Ben+Matt
8	20190119	2019	January	1	20190119	excavation	male	10.6	30.3	1	0		Y	Female_only			201901_Upogebia_Ben+Matt
22	20190119	2019	January	1	20190119	excavation	male	16.2	48.6	1	0		Y	Female_only			201901_Upogebia_Ben+Matt
53	20190119	2019	January	1	20190119	excavation	female	20.2	61	1	0		Y	Female_only			201901_Upogebia_Ben+Matt
5	20180814	2018	August	14	20180917	slurp gun	male	25	76	0	1	0	Y	Female_and_Male	L	could be small female	Upogebia+Orthione_20180814_Ben+Matt
UPBPCalvert97	29-Jul-18	2018	July	18					47				N	None			PugettensisCalvertAugV1D1
UPBPCalvert98	29-Jul-18	2018	July	18					62				N	None			PugettensisCalvertAugV1D1
UPBPCalvert99	29-Jul-18	2018	July	18					40				N	None			PugettensisCalvertAugV1D1
UPBPCalvert100	29-Jul-18	2018	July	18					57				N	None			PugettensisCalvertAugV1D1
UPBPCalvert101	29-Jul-18	2018	July	18					16				N	None			PugettensisCalvertAugV1D1
UPBPCalvert102	29-Jul-18	2018	July	18					33				N	None			PugettensisCalvertAugV1D1
UPBPCalvert103	29-Jul-18	2018	July	18					36				N	None			PugettensisCalvertAugV1D1
UPBPCalvert104	29-Jul-18	2018	July	18					39				N	None			PugettensisCalvertAugV1D1
UPBPCalvert105	29-Jul-18	2018	July	18					53				N	None			PugettensisCalvertAugV1D1
UPBPCalvert108	29-Jul-18	2018	July	18					47				N	None			PugettensisCalvertAugV1D1
UPBPCalvert109	29-Jul-18	2018	July	18					34				N	None			PugettensisCalvertAugV1D1
UPBPCalvert113	29-Jul-18	2018	July	18					65				N	None			PugettensisCalvertAugV1D1
UPBPCalvert114	29-Jul-18	2018	July	18					52				N	None			PugettensisCalvertAugV1D1
UPBPCalvert120	29-Jul-18	2018	July	18					50				N	None			PugettensisCalvertAugV1D1
UPBPCalvert1	02-Aug-18	2018	August	2					70				N	None			PugettensisCalvertAugV1D1
UPBPCalvert2	02-Aug-18	2018	August	2					66				N	None			PugettensisCalvertAugV1D1
UPBPCalvert5	02-Aug-18	2018	August	2					60				N	None			PugettensisCalvertAugV1D1
UPBPCalvert6	02-Aug-18	2018	August	2					54				N	None			PugettensisCalvertAugV1D1
UPBPCalvert7	02-Aug-18	2018	August	2					69				N	None			PugettensisCalvertAugV1D1
UPBPCalvert8	02-Aug-18	2018	August	2					57				N	None			PugettensisCalvertAugV1D1
UPBPCalvert11	02-Aug-18	2018	August	2					59				N	None			PugettensisCalvertAugV1D1
UPBPCalvert12	02-Aug-18	2018	August	2					59				N	None			PugettensisCalvertAugV1D1
UPBPCalvert13	02-Aug-18	2018	August	2					46				N	None			PugettensisCalvertAugV1D1
UPBPCalvert15	02-Aug-18	2018	August	2					54				N	None			PugettensisCalvertAugV1D1
UPBPCalvert16	02-Aug-18	2018	August	2					71				N	None			PugettensisCalvertAugV1D1
UPBPCalvert17	02-Aug-18	2018	August	2					51				N	None			PugettensisCalvertAugV1D1
UPBPCalvert18	02-Aug-18	2018	August	2					57				N	None			PugettensisCalvertAugV1D1
UPBPCalvert19	02-Aug-18	2018	August	2					40				N	None			PugettensisCalvertAugV1D1
UPBPCalvert20	02-Aug-18	2018	August	2					60				N	None			PugettensisCalvertAugV1D1
UPBPCalvert21	02-Aug-18	2018	August	2					43				N	None			PugettensisCalvertAugV1D1
UPBPCalvert22	02-Aug-18	2018	August	2					44				N	None			PugettensisCalvertAugV1D1
UPBPCalvert23	02-Aug-18	2018	August	2					39				N	None			PugettensisCalvertAugV1D1
UPBPCalvert24	02-Aug-18	2018	August	2					40				N	None			PugettensisCalvertAugV1D1
UPBPCalvert29	02-Aug-18	2018	August	2					46				N	None			PugettensisCalvertAugV1D1
UPBPCalvert30	02-Aug-18	2018	August	2					40				N	None			PugettensisCalvertAugV1D1
UPBPCalvert31	02-Aug-18	2018	August	2					41				N	None			PugettensisCalvertAugV1D1
UPBPCalvert32	02-Aug-18	2018	August	2					47				N	None			PugettensisCalvertAugV1D1
UPBPCalvert33	02-Aug-18	2018	August	2					44				N	None			PugettensisCalvertAugV1D1
UPBPCalvert34	02-Aug-18	2018	August	2					42				N	None			PugettensisCalvertAugV1D1
UPBPCalvert35	02-Aug-18	2018	August	2					32				N	None			PugettensisCalvertAugV1D1
UPBPCalvert36	02-Aug-18	2018	August	2					37				N	None			PugettensisCalvertAugV1D1
UPBPCalvert37	02-Aug-18	2018	August	2					38				N	None			PugettensisCalvertAugV1D1
UPBPCalvert38	02-Aug-18	2018	August	2					47				N	None			PugettensisCalvertAugV1D1
UPBPCalvert39	02-Aug-18	2018	August	2					39				N	None			PugettensisCalvertAugV1D1
UPBPCalvert40	02-Aug-18	2018	August	2					41				N	None			PugettensisCalvertAugV1D1
UPBPCalvert41	02-Aug-18	2018	August	2					45				N	None			PugettensisCalvertAugV1D1
UPBPCalvert42	02-Aug-18	2018	August	2					44				N	None			PugettensisCalvertAugV1D1
UPBPCalvert43	02-Aug-18	2018	August	2					43				N	None			PugettensisCalvertAugV1D1
UPBPCalvert45	02-Aug-18	2018	August	2					45				N	None			PugettensisCalvertAugV1D1
UPBPCalvert46	02-Aug-18	2018	August	2					38				N	None			PugettensisCalvertAugV1D1
UPBPCalvert47	02-Aug-18	2018	August	2					60				N	None			PugettensisCalvertAugV1D1
UPBPCalvert50	02-Aug-18	2018	August	2					39				N	None			PugettensisCalvertAugV1D1
UPBPCalvert51	02-Aug-18	2018	August	2					50				N	None			PugettensisCalvertAugV1D1
UPBPCalvert54	02-Aug-18	2018	August	2					48				N	None			PugettensisCalvertAugV1D1
