number,date.collected,date.processed,method,sex.shrimp,length.carapace,length.total,parasite.female,parasite.male,visible.naked,side,notes
1,20180814,20180917,slurp gun,female,20,61,0,0,0,,
2,20180814,20180917,slurp gun,male,22,66,1,1,1,R,
3,20180814,20180917,slurp gun,female,23.5,73,0,0,0,,
4,20180814,20180917,slurp gun,female,15,50,0,0,0,,
5,20180814,20180917,slurp gun,male,25,76,0,1,0,L,could be small female
6,20180814,20180917,slurp gun,male,13,41,1,1,1,L,
7,20180814,20180917,slurp gun,male,20.5,65,0,0,0,,
8,20180814,20180917,slurp gun,male,17,53,0,0,0,,
9,20180814,20180917,slurp gun,female,17.5,55,0,0,0,,
10,20180814,20180917,slurp gun,female,17.5,53.5,0,0,0,,
11,20180814,20180917,slurp gun,male,12.5,35,0,0,0,,
12,20180814,20180917,slurp gun,male,12.5,38,0,0,0,,
13,20180814,20180917,slurp gun,female,15.5,49,0,0,0,,
14,20180814,20180917,slurp gun,male,22.5,70,0,0,0,,
15,20180814,20180917,slurp gun,male,9.5,30,0,0,0,,
16,20180814,20180917,slurp gun,female,26,82,1,0,1,L,
17,20180814,20180917,slurp gun,female,15,48.5,0,0,0,,
18,20180814,20180917,slurp gun,female,14.5,44.5,0,0,0,,
19,20180814,20180917,slurp gun,female,16.5,53,0,0,1,L,false positive
20,20180814,20180917,slurp gun,male,11.5,34,0,0,0,,
21,20180814,20180917,slurp gun,female,19.5,66,0,0,0,,
22,20180814,20180917,slurp gun,male,7.5,22,0,0,0,,
23,20180814,20180917,excavation,male,14.5,42,0,0,0,,
24,20180814,20180917,excavation,male,18,55,0,0,0,,
25,20180814,20180917,excavation,female,26.5,81,1,1,1,L,big female
26,20180814,20180917,excavation,male,24.5,74,0,0,0,,
27,20180814,20180917,excavation,female,25.5,78,1,1,1,R,small female
28,20180814,20180917,excavation,male,25.5,77,1,1,0,R,small female
29,20180814,20180917,excavation,male,15.5,48,0,0,0,,
30,20180814,20180917,excavation,male,20.5,60,0,0,0,,
31,20180814,20180917,excavation,female,22,62,1,1,1,R,big female
32,20180814,20180917,excavation,female,20.5,60,1,1,1,L,big female
33,20180814,20180917,excavation,female,15.5,45,0,0,0,,
34,20180814,20180917,excavation,male,14.5,43.5,0,0,0,,
35,20180814,20180917,excavation,female,16,48,0,0,0,,
36,20180814,20180917,excavation,female,18,47,0,0,0,,
37,20180814,20180917,excavation,male,13.5,42,0,0,0,,
38,20180814,20180917,excavation,female,14,43,0,0,0,,
39,20180814,20180917,excavation,female,25.5,77,0,0,0,,extra pleopod only on on side of body
40,20180814,20180917,excavation,male,16,49,0,0,0,,
41,20180814,20180917,excavation,male,13.5,42,0,0,0,,
42,20180814,20180917,excavation,male,15.5,43,0,0,0,,
43,20180814,20180917,excavation,male,17,52,1,1,1,R,big female
44,20180814,20180917,excavation,female,16.5,51,0,0,0,,
45,20180814,20180917,excavation,male,17.5,52,0,0,0,,
46,20180814,20180917,excavation,female,12,37,0,0,0,,
47,20180814,20180917,excavation,male,20,60,0,0,0,,
